osm_id,code,fclass,name,type
22909133,1500,building,,
22909139,1500,building,,
22909145,1500,building,,
27678902,1500,building,Ébène CyberTower 1,commercial
33141493,1500,building,Grand Baie Bazar,
42441511,1500,building,,
42441514,1500,building,,
42441515,1500,building,Shopping Centre Astrolabe,
42441517,1500,building,,
42441518,1500,building,Waterfront,
69020959,1500,building,,
69020970,1500,building,,
78356065,1500,building,Bulk Sugar Terminal,industrial
78356071,1500,building,Bulk Sugar Terminal,industrial
78356845,1500,building,,
78356851,1500,building,,
78356855,1500,building,,
78356857,1500,building,,
78356862,1500,building,,
78356870,1500,building,Passenger Terminal,
78356871,1500,building,,
78356876,1500,building,,
78357222,1500,building,,
78357224,1500,building,,
78357226,1500,building,,
78357227,1500,building,,
78357228,1500,building,,
78357229,1500,building,,
78357230,1500,building,,
78357232,1500,building,,
78357233,1500,building,,
78357291,1500,building,,
78357292,1500,building,,
78357293,1500,building,,
78357294,1500,building,Albion Docks,
79086334,1500,building,,
79086561,1500,building,Fishries,
94517360,1500,building,,
96614585,1500,building,Jumbo Riche Terre,
96621890,1500,building,,
96621892,1500,building,Prosimex Building - Asimex Living- Kelebek Funiture,retail
97938204,1500,building,,
97938206,1500,building,,
97955188,1500,building,,
97955192,1500,building,,
97955193,1500,building,Terra,
97955198,1500,building,,
109845323,1500,building,,
114573096,1500,building,,
114573097,1500,building,,
114573098,1500,building,,
114573099,1500,building,,
114573101,1500,building,,
114573108,1500,building,,
114573111,1500,building,,
114573114,1500,building,,
114573121,1500,building,,
114573122,1500,building,,
114573123,1500,building,,
114573124,1500,building,,
114573125,1500,building,,
114573126,1500,building,MRA Mauritius Revenue Authority,
114573130,1500,building,,
114573131,1500,building,,
114573133,1500,building,,industrial
114573135,1500,building,,
114573136,1500,building,,
114573144,1500,building,,
114573148,1500,building,,
114573149,1500,building,,
114573157,1500,building,,
114573158,1500,building,,
117441105,1500,building,La Varangue sur Morne,
117441753,1500,building,Hotel Le Mauricia,
117442425,1500,building,Hotel Le Mauricia,
117551183,1500,building,,
117551184,1500,building,Beachcomber Catering,
117551185,1500,building,,
117551188,1500,building,,
133131983,1500,building,,house
133261508,1500,building,plantation Saint-Aubin,house
133261517,1500,building,,
141486978,1500,building,,
147586174,1500,building,,
153690596,1500,building,Grand Baie Conference Centre,
153856152,1500,building,Grand Baie Plaza,
158575968,1500,building,Harbour View Flats,residential
158575970,1500,building,Harbour View Flats,residential
158575972,1500,building,Harbour View Flats,residential
158575973,1500,building,Harbour View Flats,residential
158575980,1500,building,,residential
158575984,1500,building,Harbour View Flats,residential
158575993,1500,building,St Louis Cathedral,
158575999,1500,building,,
158584762,1500,building,St. James Cathedral,
158587913,1500,building,,
158587918,1500,building,Rogers House,
158587920,1500,building,State Bank of Mauritius,office
158643290,1500,building,Le Suffren Hotel & Marina,
158643292,1500,building,Victoria Urban Terminal,
170362036,1500,building,L'Aventure du Sucre,
172020550,1500,building,,
172972088,1500,building,Cube,
172972089,1500,building,Standard Chartered Tower,commercial
172972091,1500,building,HSBC Centre,commercial
172972097,1500,building,Mauritius Institute of Training and Development,university
176593724,1500,building,,
176593725,1500,building,,
176593726,1500,building,,
176593727,1500,building,,
176593728,1500,building,Inter Mart,
176593729,1500,building,Le Quorum,
176593730,1500,building,,
176593732,1500,building,,
176593733,1500,building,Esquel,industrial
176593734,1500,building,,
176593735,1500,building,,church
176593736,1500,building,,
176593737,1500,building,Winners Hypermarket,commercial
176596542,1500,building,"Notre Dame des Victoires, RCA School",school
176596543,1500,building,,
178808812,1500,building,,
178815429,1500,building,,
178840883,1500,building,,
179041980,1500,building,,
189411885,1500,building,Notre-Dame Auxiliatrice,chapel
200519316,1500,building,Sir Seewoosagur Ramgoolam International Airport,
204254905,1500,building,,hotel
204352585,1500,building,,residential
204352592,1500,building,,residential
204352593,1500,building,,residential
204357389,1500,building,,
204357392,1500,building,,residential
204357397,1500,building,,
205773133,1500,building,Rituals Spa,terrace
206271034,1500,building,House of Traditional Balinese Masage,
206290342,1500,building,German Consulate Goodlands,
206290665,1500,building,,retail
206381090,1500,building,Riverside Shopping,public
206479648,1500,building,,industrial
206662682,1500,building,,terrace
207159881,1500,building,Senator Casino,commercial
208171768,1500,building,Hotel Voila,hotel
210625451,1500,building,,
210625452,1500,building,,
210625453,1500,building,,
210625454,1500,building,,
210625456,1500,building,,
210625459,1500,building,,
210625460,1500,building,,
210625461,1500,building,,
210627571,1500,building,,
210627572,1500,building,,
210627573,1500,building,,
210627574,1500,building,,
210627575,1500,building,,
210627576,1500,building,,
210627577,1500,building,,
210627580,1500,building,,
210627581,1500,building,,
210627582,1500,building,,
210627583,1500,building,,
210627584,1500,building,,
210627586,1500,building,,
210627587,1500,building,,
210627588,1500,building,,
210627589,1500,building,,
210627590,1500,building,,
210627592,1500,building,,
210627593,1500,building,,
210627594,1500,building,,
210627595,1500,building,,
210627597,1500,building,,
210627600,1500,building,,
210627601,1500,building,,
210627602,1500,building,,
210627603,1500,building,,
210627604,1500,building,,
210627605,1500,building,,
210627606,1500,building,,
210627607,1500,building,,
211082719,1500,building,Grand Bay Cœur de Ville,retail
220390794,1500,building,,house
223524041,1500,building,Sik Yuen Supermarket,
223529935,1500,building,HSBC,
223529938,1500,building,Carnegie Library,service
223529939,1500,building,Central Electricity Board,
223529941,1500,building,Mairie de Curepipe,service
223531068,1500,building,Église Sainte-Thérèse,church
223559505,1500,building,Central Electricity Board,
223723918,1500,building,Engen,roof
224088187,1500,building,CWA,
224088188,1500,building,Eglise Saint Paul,
224268361,1500,building,Jawaharnal Nehru Hospital,hospital
231204354,1500,building,CWA - Mont Loisir Rouillard Reservoir,water
238059402,1500,building,Sacré Coeur,
238060663,1500,building,Beau Bassin Police Station,
238060899,1500,building,Beau Bassin Post Office,
238061373,1500,building,Philippe Rivalland RCA Primary School,
238061626,1500,building,Mauritius Commercial Bank Beau Bassin Branch,
238114023,1500,building,,
238114711,1500,building,Notre Dame de Lourdes,
238117708,1500,building,Beau Bassin State Secondary School,
245264945,1500,building,Emerald Park,retail
251185136,1500,building,Les Chalets en Champagne,
252916148,1500,building,La City Trianon,
254303618,1500,building,Barclays Bank,commercial
256686852,1500,building,Biscuiterie Rault,
260140873,1500,building,Winners,
261374166,1500,building,Morcellement Raffray Primary School,school
262042845,1500,building,Le Chateau de Bel Ombre,
262043444,1500,building,Heritage Golf Club,
267090865,1500,building,Ile aux Cerfs Craft market,
267090872,1500,building,,
267090874,1500,building,,
267264518,1500,building,,
267264519,1500,building,,
267264520,1500,building,,
267488961,1500,building,,
267488962,1500,building,,
267488963,1500,building,,
267488964,1500,building,,
267488965,1500,building,,
267488966,1500,building,,
267488967,1500,building,,
267488968,1500,building,,
267826945,1500,building,,
267826947,1500,building,,
267826949,1500,building,,
267826951,1500,building,,
267826954,1500,building,,
267826957,1500,building,,
267826958,1500,building,,
267826959,1500,building,,
267826961,1500,building,,
267826962,1500,building,,hut
267826964,1500,building,,
267826966,1500,building,,
267826967,1500,building,,
267826969,1500,building,,hut
267826970,1500,building,,
267826972,1500,building,,
267826974,1500,building,,
267826975,1500,building,,
267826977,1500,building,,
267826979,1500,building,,
267826980,1500,building,,
267826982,1500,building,,
267826983,1500,building,,
269908279,1500,building,,
270046727,1500,building,,
270046728,1500,building,,
270049636,1500,building,,
270049637,1500,building,,
270049638,1500,building,,
271172349,1500,building,La batterie de l'harmonie,tower
275427956,1500,building,Notre Dame des Anges,
275432187,1500,building,,warehouse
275703149,1500,building,,
283581996,1500,building,,
287498913,1500,building,,commercial
287499243,1500,building,,roof
287499310,1500,building,,commercial
287499329,1500,building,,commercial
287499371,1500,building,,
287499385,1500,building,Bambous Village Hall,
287499655,1500,building,,commercial
287499931,1500,building,,commercial
287500658,1500,building,,residential
287500886,1500,building,,
287500887,1500,building,,
287500888,1500,building,,
287500958,1500,building,,
287500960,1500,building,,
287500967,1500,building,,
287501058,1500,building,,
287501059,1500,building,,
287501060,1500,building,,
287501061,1500,building,,
287501068,1500,building,,
287501143,1500,building,,
287501144,1500,building,,
287501206,1500,building,,
287501225,1500,building,,
287501319,1500,building,,
287503665,1500,building,,
287504066,1500,building,,
