"City;Population"
"Isla Ratón;3,00"
"Maroa;890"
"Puerto Ayacucho;41,000"
"San Carlos de Río Negro;1,20"
"San Fernando de Atabapo;5,000"
"San Juan de Manapiare;991"
"Anaco;117,605"
"Aragua de Barcelona;27,025"
"Barcelona;750,000"
"Caigua;8,000"
"Cantaura;42,000"
"Clarines;15,000"
"El Chaparro;8,934"
"El Tigre;151,011"
"Guanta;35,000"
"Onoto;12,358"
"Pariguán;34,76"
"Puerto La Cruz;218,228"
"Puerto Píritu;11,00"
"San José de Guanipa;64,01"
"San Mateo;12,905"
"San Miguel;4,000"
"Santa Ana;16,000"
"Soledad;15,000"
"Valle de Guanape;20,000"
"Vidoño;3,50"
"Ciudad Sucre;1,000"
"Guachara;6,080"
"Guasdualito;105,000"
"Puerto Páez;5,32"
"San Fernando de Apure;175,000[1]"
"Barbacoas;16,469"
"Cagua;119,052"
"Camatagua;5,444"
"Colonia Tovar;14,309"
"El Consejo;41,748"
"El Limón;148,27"
"La Victoria;143,468"
"Maracay;1,302,000"
"Ocumare de la Costa;7,000"
"Palo Negro;128,895"
"San Mateo;38,062"
"Santa Cruz;29,773"
"Turmero;344,746"
" Santa Rita;134,233"
"Barinas;284,305"
"Sabaneta;2,490"
"Ciudad Bolívar;291,17"
"Ciudad Guayana;946,606"
"Maripa;5,000"
"Santa Elena de Uairén;29,79"
"Upata;168,856"
"Guacara;151,788"
"Güigüe;60,0"
"Los Guayos;169,541"
"Mariara;115,515"
"Naguanagua;144,308"
"Puerto Cabello;163,886"
"San Diego;187,215"
"San Joaquín;47,92"
"Valencia;2,585,202"
"Cojedes;14,044"
"San Carlos;83,957"
"Tinaco;25,000"
"Tinaquillo;63,000"
"Pedernales;172,892"
"Tucupita;72,856"
"Dabajuro;25,469"
"Coro;135,246"
"Punto Fijo;277,017"
"Tucacas;12,500"
"Calabozo;117,148"
"El Socorro;14,049"
"San Juan de Los Morros;125,347"
"Valle de la Pascua;139,095"
"Zaraza;138,642"
"Barquisimeto;1,600,000"
"Cabudare;131,013"
"Carora;105,400"
"El Tocuyo;41,327"
"Sanare;48,764"
"Sarare;12,535"
"Quíbor;70,53"
"Bailadores;16,001"
"Ejido;107,056"
"El Vigía;250,25"
"Mérida;317,41"
"Mucuchíes;2,98"
"Caracas;5,576,000"
"Charallave;129,213"
"Cúa;182,92"
"Guarenas;181,657"
"Guatire;192,291"
"Higuerote;25,000"
"Los Teques;279,424"
"Petare;369,000"
"Ocumare del Tuy;166,112"
"San Antonio de Los Altos;74,422"
"Santa Teresa del Tuy;261,000[3]"
"Caripito;50,000"
"Maturín;410,96"
"Juan Griego;28,256"
"La Asunción;28,50"
"Pampatar;35,400"
"Porlamar;185,120[4]"
"Acarigua;143,739"
"Araure;111,908"
"Guanare;112,315"
"Ospino;39,215"
"Carúpano;112,10"
"Cumaná;374,70"
"Río Caribe;13,66"
"Colón;48,98"
"La Fría;27,07"
"La Grita;90,000"
"Michelena;22,500"
"Palmira;25,000"
"Queniquea;20,000"
"San Antonio del Táchira;48,171[5"
"San Cristóbal;246,62"
"Táriba;128,59"
"Rubio;87,249"
"Boconó;79,71"
"Trujillo;38,110"
"Valera;135,215"
"Catia La Mar;106,850"
"La Guaira;270,792"
"Chivacoa;59,059"
"Guama;87,909"
"San Felipe;220,786[5]"
"Yaritagua;120,000"
"Nirgua;77,438"
"Cabimas;200,859"
"Ciudad Ojeda;128,941"
"La Villa del Rosario;120,000"
"Machiques;150,000"
"Maracaibo;4,163,670"
"Sinamaica;2,000"
